data;time;pos;chance
2017-05-25;CFC;14;5,125
2017-05-25;CFC;15;4,925
2017-05-25;CFC;16;5,140000000000001
2017-05-25;CFC;17;4,635
2017-05-25;CFC;18;4,695
2017-05-25;CFC;19;4,495
2017-05-25;CFC;20;4,154999999999999
2017-05-25;SAN;1;4,865
2017-05-25;SAN;2;4,845
2017-05-25;SAN;3;5,085
2017-05-25;SAN;4;5,41
2017-05-25;SAN;5;5,54
2017-05-25;SAN;6;5,055
2017-05-25;SAN;7;5,26
2017-05-25;SAN;8;5,24
2017-05-25;SAN;9;5,095000000000001
2017-05-25;SAN;10;5,33
2017-05-25;SAN;11;4,885
2017-05-25;SAN;12;5,0
2017-05-25;SAN;13;5,095000000000001
2017-05-25;SAN;14;4,99
2017-05-25;SAN;15;5,115
2017-05-25;SAN;16;4,955
2017-05-25;SAN;17;4,585
2017-05-25;SAN;18;4,53
2017-05-25;SAN;19;4,75
2017-05-25;SAN;20;4,37
2017-05-25;AGO;1;1,95
2017-05-25;AGO;2;2,6599999999999997
2017-05-25;AGO;3;3,09
2017-05-25;AGO;4;3,4549999999999996
2017-05-25;AGO;5;3,4099999999999997
2017-05-25;AGO;6;3,94
2017-05-25;AGO;7;3,52
2017-05-25;AGO;8;4,45
2017-05-25;AGO;9;4,445
2017-05-25;AGO;10;4,73
2017-05-25;AGO;11;4,995
2017-05-25;AGO;12;5,28
2017-05-25;AGO;13;5,1049999999999995
2017-05-25;AGO;14;5,779999999999999
2017-05-25;AGO;15;6,075
2017-05-25;AGO;16;6,11
2017-05-25;AGO;17;6,494999999999999
2017-05-25;AGO;18;7,265000000000001
2017-05-25;AGO;19;8,094999999999999
2017-05-25;AGO;20;9,15
2017-05-25;CHA;1;6,15
2017-05-25;CHA;2;6,21
2017-05-25;CHA;3;5,965
2017-05-25;CHA;4;5,595
2017-05-25;CHA;5;5,705
2017-05-25;CHA;6;5,675
2017-05-25;CHA;7;5,43
2017-05-25;CHA;8;5,505
2017-05-25;CHA;9;4,835
2017-05-25;CHA;10;5,125
2017-05-25;CHA;11;5,015
2017-05-25;CHA;12;4,9750000000000005
2017-05-25;CHA;13;4,8149999999999995
2017-05-25;CHA;14;4,75
2017-05-25;CHA;15;4,569999999999999
2017-05-25;CHA;16;4,555
2017-05-25;CHA;17;4,165
2017-05-25;CHA;18;4,115
2017-05-25;CHA;19;3,5549999999999997
2017-05-25;CHA;20;3,29
2017-05-25;VAS;1;4,765
2017-05-25;VAS;2;5,005
2017-05-25;VAS;3;4,805000000000001
2017-05-25;VAS;4;5,01
2017-05-25;VAS;5;5,01
2017-05-25;VAS;6;5,335
2017-05-25;VAS;7;5,185
2017-05-25;VAS;8;5,25
2017-05-25;VAS;9;5,255
2017-05-25;VAS;10;5,035
2017-05-25;VAS;11;5,425
2017-05-25;VAS;12;4,91
2017-05-25;VAS;13;5,13
2017-05-25;VAS;14;5,050000000000001
2017-05-25;VAS;15;4,875
2017-05-25;VAS;16;4,875
2017-05-25;VAS;17;5,035
2017-05-25;VAS;18;5,029999999999999
2017-05-25;VAS;19;4,595
2017-05-25;VAS;20;4,42
2017-05-25;VIT;1;2,705
2017-05-25;VIT;2;3,18
2017-05-25;VIT;3;3,465
2017-05-25;VIT;4;3,91
2017-05-25;VIT;5;3,9149999999999996
2017-05-25;VIT;6;4,33
2017-05-25;VIT;7;4,045
2017-05-25;VIT;8;4,51
2017-05-25;VIT;9;4,52
2017-05-25;VIT;10;4,84
2017-05-25;VIT;11;5,33
2017-05-25;VIT;12;5,125
2017-05-25;VIT;13;5,345
2017-05-25;VIT;14;5,615
2017-05-25;VIT;15;5,775
2017-05-25;VIT;16;6,055
2017-05-25;VIT;17;6,095
2017-05-25;VIT;18;6,705
2017-05-25;VIT;19;6,800000000000001
2017-05-25;VIT;20;7,735
2017-05-25;CAM;1;2,7
2017-05-25;CAM;2;3,075
2017-05-25;CAM;3;3,5700000000000003
2017-05-25;CAM;4;4,07
2017-05-25;CAM;5;4,06
2017-05-25;CAM;6;4,095
2017-05-25;CAM;7;4,14
2017-05-25;CAM;8;4,614999999999999
2017-05-25;CAM;9;5,065
2017-05-25;CAM;10;4,62
2017-05-25;CAM;11;5,3100000000000005
2017-05-25;CAM;12;5,1450000000000005
2017-05-25;CAM;13;5,53
2017-05-25;CAM;14;5,525
2017-05-25;CAM;15;5,475
2017-05-25;CAM;16;5,915
2017-05-25;CAM;17;6,36
2017-05-25;CAM;18;6,5
2017-05-25;CAM;19;6,665
2017-05-25;CAM;20;7,5649999999999995
2017-05-25;ATP;1;2,265
2017-05-25;ATP;2;2,385
2017-05-25;ATP;3;2,7550000000000003
2017-05-25;ATP;4;3,305
2017-05-25;ATP;5;3,37
2017-05-25;ATP;6;3,4799999999999995
2017-05-25;ATP;7;3,965
2017-05-25;ATP;8;4,215
2017-05-25;ATP;9;4,45
2017-05-25;ATP;10;4,555
2017-05-25;ATP;11;5,0
2017-05-25;ATP;12;5,095000000000001
2017-05-25;ATP;13;5,125
2017-05-25;ATP;14;5,52
2017-05-25;ATP;15;6,045
2017-05-25;ATP;16;6,39
2017-05-25;ATP;17;7,155
2017-05-25;ATP;18;7,295
2017-05-25;ATP;19;8,105
2017-05-25;ATP;20;9,525
2017-05-25;BOT;1;4,75
2017-05-25;BOT;2;5,09
2017-05-25;BOT;3;4,87
2017-05-25;BOT;4;4,865
2017-05-25;BOT;5;5,01
2017-05-25;BOT;6;5,25
2017-05-25;BOT;7;5,315
2017-05-25;BOT;8;5,1049999999999995
2017-05-25;BOT;9;5,335
2017-05-25;BOT;10;5,335
2017-05-25;BOT;11;4,805000000000001
2017-05-25;BOT;12;5,2749999999999995
2017-05-25;BOT;13;5,1049999999999995
2017-05-25;BOT;14;4,8950000000000005
2017-05-25;BOT;15;5,095000000000001
2017-05-25;BOT;16;4,9799999999999995
2017-05-25;BOT;17;4,96
2017-05-25;BOT;18;5,050000000000001
2017-05-25;BOT;19;4,715
